Player,POS,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Malik Beasley,SG,LAL,26.0,81.0,45.0,36.0,2093.1,1025.0,370.0,937.0,39.5,235.0,658.0,35.7,50.0,65.0,76.9,35.0,248.0,283.0,124.0,90.0,65.0,9.0,107.0,1683.0,1.0,0.0,-87.0
Norman Powell,G,LAC,29.0,60.0,31.0,29.0,1567.1,1019.0,340.0,710.0,47.9,114.0,287.0,39.7,225.0,277.0,81.2,24.0,151.0,175.0,109.0,101.0,50.0,18.0,125.0,1496.0,0.0,0.0,-124.0
Tim Hardaway Jr.,SF,DAL,31.0,71.0,37.0,34.0,2152.2,1019.0,340.0,847.0,40.1,212.0,550.0,38.5,127.0,165.0,77.0,21.0,230.0,251.0,129.0,60.0,49.0,12.0,120.0,1637.0,0.0,0.0,160.0
Derrick White,PG,BOS,28.0,82.0,57.0,25.0,2319.3,1017.0,350.0,758.0,46.2,149.0,391.0,38.1,168.0,192.0,87.5,52.0,241.0,293.0,321.0,95.0,54.0,76.0,177.0,2145.0,7.0,0.0,488.0
Luguentz Dort,G,OKC,24.0,74.0,36.0,38.0,2272.4,1013.0,339.0,873.0,38.8,135.0,409.0,33.0,200.0,259.0,77.2,128.0,216.0,344.0,154.0,92.0,75.0,23.0,243.0,1859.0,5.0,0.0,34.0
Jabari Smith Jr.,PF,HOU,19.0,79.0,21.0,58.0,2450.5,1010.0,364.0,892.0,40.8,120.0,391.0,30.7,162.0,206.0,78.6,122.0,447.0,569.0,101.0,104.0,43.0,74.0,227.0,2091.0,16.0,0.0,-555.0
Malcolm Brogdon,PG,BOS,30.0,67.0,46.0,21.0,1743.8,1000.0,354.0,732.0,48.4,132.0,297.0,44.4,160.0,184.0,87.0,42.0,238.0,280.0,248.0,98.0,45.0,18.0,109.0,1799.0,0.0,0.0,182.0
Bobby Portis,F,MIL,28.0,70.0,47.0,23.0,1818.4,987.0,398.0,803.0,49.6,95.0,257.0,37.0,96.0,125.0,76.8,154.0,518.0,672.0,105.0,81.0,29.0,16.0,115.0,2005.0,38.0,0.0,17.0
Keegan Murray,SF,SAC,22.0,80.0,47.0,33.0,2381.7,976.0,354.0,782.0,45.3,206.0,501.0,41.1,62.0,81.0,76.5,89.0,282.0,371.0,98.0,60.0,61.0,42.0,162.0,1817.0,4.0,0.0,99.0
Kelly Oubre Jr.,SG,CHA,27.0,48.0,16.0,32.0,1547.5,972.0,353.0,819.0,43.1,108.0,339.0,31.9,158.0,208.0,76.0,65.0,184.0,249.0,54.0,64.0,68.0,18.0,141.0,1546.0,3.0,0.0,-278.0
Jarrett Allen,C,CLE,25.0,68.0,44.0,24.0,2220.1,969.0,403.0,626.0,64.4,1.0,10.0,10.0,162.0,221.0,73.3,221.0,445.0,666.0,113.0,93.0,54.0,84.0,153.0,2259.0,32.0,0.0,345.0
Nic Claxton,C,BKN,24.0,76.0,41.0,35.0,2270.7,961.0,414.0,587.0,70.5,0.0,2.0,0.0,133.0,246.0,54.1,184.0,518.0,702.0,144.0,96.0,65.0,189.0,212.0,2685.0,28.0,0.0,119.0
