Player,POS
Brook Lopez,C
Jrue Holiday,PG
Josh Giddey,SG
Jonas Valanciunas,C
Harrison Barnes,SF
Max Strus,SG
Aaron Nesmith,SF
Ayo Dosunmu,SG
Buddy Hield,SG
Tyus Jones,PG
Jaime Jaquez Jr.,G
Nic Claxton,C
Ivica Zubac,C
Jeremy Sochan,F
Cole Anthony,PG
Clint Capela,C
Mike Conley,PG
Malik Beasley,SG
Zach Collins,PF
Russell Westbrook,PG
Eric Gordon,SG
Herbert Jones,SF
Daniel Gafford,C
Jusuf Nurkic,C
Luguentz Dort,G
Moritz Wagner,C
Bruce Brown,SF
Santi Aldama,PF
Jaden McDaniels,PF
Simone Fontecchio,F
Spencer Dinwiddie,PG
Alec Burks,SG
Grant Williams,PF
Obi Toppin,PF
T.J. McConnell,PG
Kevin Huerter,SG
Reggie Jackson,PG
Kentavious Caldwell-Pope,SG
Alex Caruso,SG
Tre Jones,PG
Caleb Martin,SF
Jalen Smith,PF
Kelly Olynyk,PF
Lonnie Walker IV,G
Nick Richards,C
Payton Pritchard,PG
Amen Thompson,F
Josh Hart,SG
Isaac Okoro,SF
Georges Niang,SF
Brandin Podziemski,G
Andrew Nembhard,PG
Malaki Branham,G
Chris Paul,PG
Duop Reath,C
Sam Hauser,SF
Taurean Prince,PF
Jabari Walker,F
Ausar Thompson,F
Terance Mann,SG
Al Horford,C
Derrick Jones Jr.,SF
Dorian Finney-Smith,PF
Gradey Dick,G
Bilal Coulibaly,SG
Andre Drummond,C
Miles McBride,PG
Marcus Sasser,G
Isaiah Joe,SG
Kyle Lowry,PG
Walker Kessler,C
Moses Moody,SG
Dario Saric,PF
Nickeil Alexander-Walker,SG
Sam Merrill,SG
Trayce Jackson-Davis,F
Jordan Hawkins,G
Isaiah Hartenstein,C
Royce O'Neale,PF
Precious Achiuwa,PF
Toumani Camara,F
Cameron Payne,PG
Paul Reed,SF
Christian Braun,G
Jaden Hardy,G
Trey Lyles,PF
James Wiseman,C
Naji Marshall,SF
Vasilije Micic,G
Aaron Wiggins,SG
Trendon Watford,PF
Cason Wallace,G
Julian Champagnie,F
Day'Ron Sharpe,C
Cedi Osman,SF
Jonathan Isaac,PF
Peyton Watson,F
Amir Coffey,SG
Aaron Holiday,G
David Roddy,F
Jeff Green,PF
Kyle Anderson,SF
Isaiah Jackson,SF
Daniel Theis,C
Patrick Beverley,PG
Haywood Highsmith,F
Kris Murray,F
Ochai Agbaji,G
Dyson Daniels,G
Larry Nance Jr.,PF
Pat Connaughton,SG
Malachi Flynn,PG
Doug McDermott,SF
Matisse Thybulle,SG
Kris Dunn,G
Nicolas Batum,PF
Luke Kornet,C
Davion Mitchell,PG
Bryce McGowens,G
Drew Eubanks,PF
Goga Bitadze,C
Jevon Carter,PG
Garrison Mathews,SG
Kenrich Williams,SF
Josh Okogie,SF
Anthony Black,G
Kevon Looney,F
Blake Wesley,G
Joe Ingles,SG
Jaxson Hayes,C
Caleb Houstan,G
Max Christie,G
Troy Brown Jr.,SF
Jae'Sean Tate,SF
Justin Holiday,SF
Jaylin Williams,F
Chris Duarte,SG
KJ Martin,F
Dwight Powell,C
Zeke Nnaji,PF
JT Thor,F
Dalen Terry,F
Joel Embiid,C
Donovan Mitchell,SG
Trae Young,PG
Ja Morant,PG
Julius Randle,PF
LaMelo Ball,PG
Desmond Bane,SG
Lauri Markkanen,PF
Anfernee Simons,SG
Jerami Grant,SF
Tyler Herro,PG
Kristaps Porzingis,C
Zach LaVine,SG
Bradley Beal,SG
Darius Garland,PG
Jordan Clarkson,PG
Deandre Ayton,C
Jalen Johnson,SF
Shaedon Sharpe,SG
Malcolm Brogdon,PG
Evan Mobley,PF
De'Andre Hunter,SF
Bojan Bogdanovic,SF
Khris Middleton,SF
Trey Murphy III,SG
OG Anunoby,SF
GG Jackson,F
Marcus Smart,PG
Scotty Pippen Jr.,G
Mark Williams,C
Cam Whitmore,F
Javonte Green,G
Marvin Bagley III,PF
Brandon Clarke,PF
Jakob Poeltl,C
De'Anthony Melton,SG
Luke Kennard,SG
Wendell Carter Jr.,C
Isaiah Stewart,C
Jake LaRavia,F
Dalano Banton,G
Onyeka Okongwu,PF
Talen Horton-Tucker,SG
Vince Williams Jr.,G
Patrick Williams,PF
Josh Richardson,SG
Gordon Hayward,SF
Tari Eason,F
Tre Mann,PG
Kevin Love,PF
Dereck Lively II,C
Draymond Green,PF
Tristan Vukcevic,PF
Ziaire Williams,F
Josh Green,SG
Derrick Rose,PG
Markelle Fultz,PG
Dante Exum,G
RaiQuan Gray,F
Nikola Jovic,F
Cody Martin,SF
Brice Sensabaugh,F
Taylor Hendricks,F
Johnny Juzang,G
Kevin Knox II,SF
Lamar Stevens,PF
Landry Shamet,SG
Jose Alvarado,PG
Quentin Grimes,SG
Jordan Nwora,SF
Javon Freeman-Liberty,G
Christian Wood,F
Bones Hyland,PG
Gary Harris,SG
Killian Hayes,PG
Evan Fournier,SG
Maozinha Pereira,F
Trey Jemison,C
Robert Williams III,C
Davis Bertans,SF
Jahmi'us Ramsey,SG
Dennis Smith Jr.,PG
Chimezie Metu,PF
David Duke Jr.,G
Jordan Goodwin,G
Marcus Morris Sr.,SF
Chris Boucher,PF
Jared Butler,SG
Bruno Fernando,PF
Jae Crowder,PF
Jaylen Nowell,SG
Keon Johnson,G
Vit Krejci,G
Ben Simmons,PG
Zavier Simpson,G
Tosan Evbuomwan,F
Justin Champagnie,SF
Nick Smith Jr.,G
Noah Clowney,F
Torrey Craig,SF
Danilo Gallinari,PF
Thomas Bryant,C
Craig Porter,G
Mitchell Robinson,C
Dexter Dennis,G
Neemias Queta,C
Gary Payton II,SG
Keon Ellis,G
Matt Ryan,F
Cam Reddish,SF
Ricky Council IV,G
Dean Wade,PF
Sasha Vezenkov,F
Darius Bazley,F
Mason Plumlee,C
Stanley Umude,G
Xavier Tillman,F
Brandon Boston Jr.,SG
Aleksej Pokusevski,F
Bol Bol,C
Jarred Vanderbilt,PF
Seth Curry,SG
D.J. Wilson,F
Kobi Simmons,G
Jalen Wilson,F
Richaun Holmes,F
Monte Morris,PG
Devonte' Graham,PG
Isaiah Livers,PF
Jock Landale,C
Jared Rhoden,G
Eugene Omoruyi,F
DeJon Jarreau,F
Kobe Bufkin,G
Omer Yurtseven,C
Kenneth Lofton Jr.,F
Julian Strawther,G
Shake Milton,SG
Taze Moore,G
AJ Green,G
Delon Wright,SG
Patrick Baldwin Jr.,F
Maxi Kleber,PF
Mo Bamba,C
Lester Quinones,G
Jontay Porter,C
Ben Sheppard,G
MarJon Beauchamp,F
Robert Covington,PF
Dominick Barlow,F
Bismack Biyombo,C
Jeff Dowtin Jr.,G
Dru Smith,G
John Konchar,SG
Danuel House Jr.,SF
Jacob Gilyard,G
Ashton Hagans,G
Armoni Brooks,G
Thaddeus Young,F
Sandro Mamukelashvili,PF
Luka Samanic,F
Skylar Mays,SG
Ousmane Dieng,F
JaVale McGee,C
Izaiah Brockington,G
Matt Hurt,F
Adama Sanogo,C
Mouhamed Gueye,F
Rayan Rupert,G
Patty Mills,PG
Luka Garza,C
Svi Mykhailiuk,SG
DeAndre Jordan,C
Jules Bernard,G
Anthony Gill,PF
Sidy Cissoko,G
Jamal Cain,F
T.J. Warren,SF
Keita Bates-Diop,SF
Drew Peterson,F
Oshae Brissett,SF
Jarace Walker,F
Collin Gillespie,G
Lindy Waters III,F
James Bouknight,SG
Gui Santos,F
Jordan McLaughlin,PG
Onuralp Bitim,SF
Theo Maledon,PG
Yuta Watanabe,SF
Moses Brown,C
Wenyen Gabriel,F
Buddy Boeheim,F
Ryan Rollins,G
Jalen McDaniels,PF
Nassir Little,SF
Marques Bolden,C
Jaden Springer,G
Charles Bassey,C
Micah Potter,C
Tristan Thompson,C
Garrett Temple,SF
Oscar Tshiebwe,C
Terquavion Smith,G
A.J. Lawson,G
Ish Smith,PG
Boban Marjanovic,C
Kira Lewis Jr.,PG
Brandon Williams,G
Gabe Vincent,PG
Wesley Matthews,SG
Johnny Davis,G
Olivier-Maxence Prosper,F
Mike Muscala,C
Saben Lee,G
Jeremiah Robinson-Earl,F
Nate Williams,G
Trevelin Queen,SG
Henri Drell,F
D.J. Carton,G
Orlando Robinson,C
Damian Jones,C
Emoni Bates,F
Malik Williams,C
Leaky Black,F
Moussa Diabate,F
Otto Porter Jr.,SF
Timmy Allen,F
Markieff Morris,PF
Dylan Windler,G
Furkan Korkmaz,SG
Alex Len,C
Greg Brown III,PF
Alex Fudge,F
Joe Harris,SF
Harry Giles III,F
Cory Joseph,PG
AJ Griffin,F
Mouhamadou Gueye,F
Xavier Moon,G
Jamaree Bouyea,G
Cole Swider,F
Dereon Seabron,G
Isaiah Mobley,F
Amari Bailey,G
Chuma Okeke,PF
Olivier Sarr,C
Julian Phillips,F
Nate Hinton,G
Andre Jackson Jr.,G
Udoka Azubuike,C
Trent Forrest,G
Reggie Bullock Jr.,SF
Colby Jones,G
Ish Wainright,F
Jericho Sims,C
Kobe Brown,G
Mamadi Diakite,F
Ty Jerome,SG
Jordan Ford,G
Kevon Harris,G
Lindell Wigginton,G
Markquis Nowell,G
Isaiah Wong,G
JD Davison,SG
D'Moi Hodge,G
Daishen Nix,SG
Justin Minaya,F
Cody Zeller,C
Kessler Edwards,SF
Jason Preston,G
Leonard Miller,F
Taj Gibson,F
P.J. Tucker,PF
Jordan Walsh,G
Jordan Miller,G
Jalen Hood-Schifino,G
Jett Howard,G
Josh Minott,F
Jalen Pickett,G
Seth Lundy,G
Ibou Badji,C
Jack White,F
Colin Castleton,C
Adam Flagler,F
Dariq Whitehead,F
Terry Taylor,F
Jacob Toppin,F
Jermaine Samuels Jr.,F
Jerome Robinson,SG
Mason Jones,G
Kendall Brown,SG
Isaiah Thomas,G
Nathan Mensah,C
TyTy Washington Jr.,G
R.J. Hampton,G
Chris Livingston,F
Keyontae Johnson,F
Jay Huff,C
Admiral Schofield,SF
Robin Lopez,C
Hunter Tyson,F
Braxton Key,F
Hamidou Diallo,G
Frank Ntilikina,PG
Filip Petrusev,PF
Joshua Primo,G
Thanasis Antetokounmpo,SF
James Johnson,PF
DaQuan Jeffries,SG
Charlie Brown Jr.,G
Wendell Moore Jr.,G
Alondes Williams,G
Shaquille Harrison,G
Jalen Slawson,F
Pat Spencer,G
Quenton Jackson,G
Juan Toscano-Anderson,F
E.J. Liddell,F
Usman Garuba,PF
Pete Nance,F
Maxwell Lewis,F
